0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174
0.002880893	0.003356844	0.061186005	0.00061689	0.077575626	0.002670028	9.4244E-05	0.024234095	0.000353723	0.000598321	0.000554919	0.000485188	0.001054331	0.001905708	5.48443E-05	0.002176628	0.015072294	0.000215883	0.000183307	0.000505085	0.000114367	0.001038282	0.011824961	0.000255851	0.000225765	0.001059535	0.000132824	0.000291304	0.005322812	0.090143718	0.001654119	0.012404178	0.007823702	0.001500407	0.001142665	0.004116051	0.001767588	0.002813204	0.001688241	0.005807383	0.002889143	0.000488083	0.000609209	0.000894399	0.00053938	0.010585554	0.000285778	0.000607219	0.006909888	0.000636468	0.001512227	0.005216578	0.004883434	0.000271219	0.000611652	0.000176153	0.001986691	0.004567246	0.01065422	0.000979471	0.038132113	0.001157171	0.001406563	0.000408001	0.000340192	0.000878144	0.001996535	0.001604637	0.000188448	0.012202033	0.000668349	0.009799565	0.001429866	0.00663568	0.011190459	0.000908778	0.000261445	0.001817007	0.002687699	0.000625511	0.001485724	0.000614545	0.010910578	0.007336062	0.000364188	0.001185921	0.002207459	0.000651238	0.000622314	0.000288771	0.00089073	0.00104458	0.000667332	0.009575722	0.000634651	0.000552496	0.008101134	0.001806608	0.011713411	0.003265561	0.003955023	7.90139E-05	0.000711481	0.000745838	0.002368758	0.001276189	0.005282764	0.008258712	0.00077246	0.006535813	0.000728593	8.43263E-05	0.022370942	0.005873212	0.000407521	0.052883874	0.006027486	0.000653928	0.000113951	0.002503598	0.008598985	0.004536988	0.001246037	0.007303293	0.000892411	0.016165598	0.001033197	0.001084649	0.004764969	0.001288942	0.001740989	0.003154778	0.001383841	0.002435884	0.001550807	0.000246279	0.003177861	0.002104111	0.02720046	0.00055392	0.002253691	0.028370441	0.001285686	0.009115789	7.14494E-05	0.001561111	0.008981214	0.000707385	0.000393844	0.008251434	0.011724993	0.000929875	0.000240588	0.003519647	0.001088792	0.000471158	0.057741682	0.000391894	0.016818211	0.001942091	2.29667E-05	0.000965583	0.000161825	0.002317792	0.000601549	0.001076885	0.000519369	0.002057856	0.037067276	0.004355745	0.015297712	9.73944E-05	0.000908294	0.000643791	0.005484456
0.12	0.025	0.244	0.197	0.016	0.08	0.052	0.149	0.236	0.249	0.267	0.175	0.243	0.056	0.026	0.421	0.051	0.159	0.073	0.354	0.194	0.221	0.017	0.124	0.109	0.113	0.572	0.145	0.503	0.068	0.152	0.115	0.078	0.904	0.429	0.354	0.046	0.182	0.044	0.411	0.048	0.063	0.059	0.205	0.267	0.117	0.209	0.14	0.585	0.054	0.144	0.414	0.02	0.203	0.085	0.321	0.094	0.26	0.143	0.135	0.033	0.052	0.213	0.363	0.129	0.288	0.102	0.086	0.415	0.335	0.547	0.075	0.35	0.107	0.039	0.171	0.108	0.143	0.179	0.217	0.06	0.331	0.257	0.199	0.212	0.215	0.442	0.274	0.383	0.057	0.166	0.397	0.153	0.104	0.164	0.119	0.266	0.1	0.147	0.22	0.082	0.078	0.373	0.29	0.633	0.028	0.305	0.029	0.158	0.238	0.192	0.113	0.07	0.41	0.039	0.032	0.143	0.144	0.066	0.282	0.122	0.251	0.238	0.094	0.064	0.173	0.55	0.261	0.052	0.108	0.189	0.021	0.131	0.079	0.104	0.384	0.266	0.249	0.085	0.147	0.262	0.059	0.175	0.061	0.094	0.357	0.416	0.525	0.083	0.073	0.151	0.285	0.103	0.652	0.248	0.113	0.021	0.079	0.013	0.271	0.175	0.407	0.05	0.045	0.127	0.406	0.174	0.193	0.013	0.388	0.067	0.348	0.159	0.766	0.032
平安神宫 	教堂 	酒店 	巨蛋 	时间 	北野天满宫 	灶地狱 	伏见稻荷大社 	忍者 	叔叔 	老师 	伊豆市 	热海 	北荣町柯南小镇 	特工 	博物馆 	价格 	河津樱 	小野 	醍醐寺 	三笠公园 	富士急游乐园 	建筑 	中之岛 	装备 	白川 	住处 	男票 	日本环球影城 	机场 	日光 	神社 	芦之湖 	东京塔 	日币 	上野公园 	热海市 	表参道 	琉璃 	名古屋 	小主 	河口湖八音盒之森美术馆 	马场 	横滨市 	老妈 	孩子 	青岛 	大江户温泉物语 	日元 	明石海峡大桥 	宫岛 	市场 	雪糕 	下北泽 	大觉寺 	太郎 	兼六园 	商店 	富士山 	长崎市 	味道 	桂离宫 	仙台 	兔子 	豆子 	宾馆 	美瑛 	樱岛 	友人 	新宿 	霓虹 	餐厅 	姬路城 	白川乡 	建筑 	下鸭神社 	秩父市 	星野 	海贼王 	三千院 	黑部 	城崎温泉一条街 	乐园 	二条城 	鞍马山 	老婆 	宇治 	面包 	儿子 	妈咪 	度假区 	有马温泉 	麻麻 	明治神宫 	修善寺 	海水 	河口湖 	中华街 	江之岛 	冲绳 	小伙伴 	新横滨拉面博物馆 	饭店 	龙安寺 	镰仓 	效果 	神户 	指数 	天神 	岚山 	巡礼 	小推车 	寿司 	民宿 	栃木县 	交通 	地址 	旅舍 	细工 	大阪海游馆 	小樽 	春日大社 	游轮 	邮轮 	旅社 	樱花 	新宿御苑 	动物园 	直岛 	甲子 	大会 	本能寺 	高野山 	别府 	屋久岛 	美女 	函馆 	三鹰之森吉卜力美术馆 	台场 	后乐园 	缆车 	环球 	松岛 	证明 	静酱 	池袋 	浅草 	东京天空树 	妖怪 	鸭川 	岚山 	歌舞伎町一番街 	老街 	奈良公园 	千鸟 	犬山城 	地方 	武藏野北高校 	建筑 	熊本 	浪速 	河豚 	職棒 	環球 	代代木公园 	同学 	会馆 	名古屋城 	游客 	旅馆 	通天阁 	蜂蜂 	品川 	楼主 	時間 
0.119	0.017	0.028	0.068	0.014	0.01	0.048	0.147	0.035	0.023	0.101	0.171	0.032	0.05	0.021	0.205	0.048	0.05	0.071	0.149	0.099	0.078	0.011	0.073	0.039	0.077	0.034	0.068	0.027	0.029	0.062	0.046	0.069	0.021	0.049	0.143	0.024	0.085	0.034	0.018	0.043	0.061	0.058	0.065	0.09	0.082	0.083	0.063	0.06	0.051	0.046	0.217	0.019	0.108	0.021	0.035	0.065	0.21	0.052	0.086	0.028	0.038	0.126	0.048	0.07	0.124	0.045	0.062	0.104	0.064	0.113	0.028	0.067	0.04	0.035	0.113	0.052	0.136	0.136	0.127	0.042	0.042	0.042	0.099	0.094	0.092	0.145	0.23	0.175	0.014	0.074	0.14	0.029	0.048	0.109	0.098	0.135	0.068	0.115	0.085	0.074	0.042	0.242	0.205	0.031	0.023	0.063	0.027	0.038	0.183	0.08	0.021	0.068	0.116	0.031	0.027	0.062	0.105	0.058	0.07	0.084	0.249	0.2	0.039	0.044	0.029	0.044	0.106	0.039	0.083	0.154	0.019	0.029	0.065	0.055	0.027	0.058	0.052	0.069	0.14	0.107	0.055	0.038	0.038	0.06	0.063	0.05	0.151	0.064	0.054	0.076	0.269	0.094	0.104	0.048	0.094	0.018	0.038	0.012	0.093	0.061	0.082	0.034	0.029	0.105	0.088	0.099	0.101	0.009	0.086	0.044	0.093	0.103	0.013	0.023
哲学之道 	轻井泽町 	房间 	名古屋巨蛋 	地方 	客人 	鳄鱼 	清水寺 	屋主 	苦瓜 	茶道 	造币 	酒店 	车站 	場合 	藤子 	购物 	豆水楼 	水谷 	京都御苑 	神田明神神社 	富士 	历史 	浪花 	店租 	知恩院 	日本造币局大阪分局 	表妹 	环球 	时间 	日光市 	鸟居 	大涌谷 	海贼王 	奶奶 	上野 	别墅 	代官山 	光院 	名铁 	静冈市 	挂川市 	小花 	神乐坂 	婆婆 	小朋友 	大哥 	页面 	门票 	伊豆河津 	严岛神社 	道顿堀 	餐厅 	城崎温泉站 	清凉寺 	港境 	金泽市 	大阪城公园 	忍野八海 	山中湖村 	感觉 	光之教堂 	仙台市 	足利花卉公园 	依水园 	妹妹 	北海道 	鹿儿岛市 	黑川温泉 	成田 	盆友 	量子 	好古园 	白川乡合掌村 	时代 	贵船神社 	咖哩 	大酒店 	主题乐园 	岐阜县 	彦根城 	城崎温泉站 	项目 	金阁寺 	天狗 	铁道 	平等院 	超人 	爸妈 	号房 	青森县 	六甲山 	三爷 	皇居 	三岛市 	次郎 	富士山 	世纪 	镰仓 	水族馆 	体验 	家主 	花园 	三十三间堂 	灌篮高手 	肌肤 	异人馆 	食材 	桥筋 	风景区 	动画 	將船 	拉面 	房东 	屋花 	时间 	交通 	目店 	表弟 	天保山摩天轮 	北海道 	东大寺 	皇家 	码头 	大德寺 	地方 	长野市 	旭山动物园 	小豆岛 	球场 	花火 	历史 	熊野古道 	布院 	租车 	小磨 	函馆山 	吉祥寺 	银座 	诹访湖 	滑雪场 	影城 	仙台 	办理 	凡爸 	吉祥寺 	观音堂 	天空 	出云大社 	清水寺 	火车 	台场海滨公园 	附楼 	春日大社 	三段壁 	爱知县 	感觉 	嬉野 	商店 	地震 	篝火 	玄品 	球迷 	影城 	演唱会 	大学 	名古屋港水族馆 	热田神宫 	地方 	日式 	梅田蓝天大厦 	领馆 	自由之丘 	手冢治虫纪念馆 	時候 
0.093	0.013	0.022	0.047	0.012	0.009	0.045	0.048	0.022	0.017	0.05	0.051	0.019	0.041	0.019	0.072	0.047	0.044	0.027	0.044	0.068	0.06	0.01	0.048	0.03	0.062	0.031	0.042	0.023	0.022	0.051	0.024	0.032	0.006	0.025	0.072	0.018	0.065	0.018	0.017	0.042	0.039	0.039	0.04	0.06	0.049	0.081	0.047	0.038	0.049	0.045	0.025	0.01	0.077	0.02	0.031	0.054	0.114	0.033	0.041	0.009	0.036	0.071	0.034	0.034	0.08	0.044	0.045	0.039	0.027	0.055	0.024	0.037	0.033	0.031	0.067	0.049	0.114	0.031	0.066	0.039	0.035	0.031	0.045	0.044	0.042	0.054	0.084	0.133	0.011	0.054	0.127	0.027	0.026	0.052	0.053	0.095	0.042	0.059	0.049	0.054	0.025	0.016	0.092	0.027	0.017	0.04	0.023	0.028	0.052	0.07	0.021	0.043	0.088	0.027	0.025	0.057	0.028	0.055	0.07	0.043	0.051	0.047	0.017	0.019	0.024	0.023	0.101	0.021	0.047	0.079	0.014	0.024	0.051	0.047	0.024	0.055	0.046	0.052	0.063	0.102	0.047	0.034	0.037	0.024	0.041	0.034	0.082	0.061	0.036	0.059	0.041	0.024	0.028	0.032	0.069	0.011	0.029	0.01	0.07	0.034	0.056	0.02	0.028	0.057	0.045	0.082	0.043	0.008	0.034	0.032	0.056	0.037	0.01	0.02
南禅寺 	能古岛 	时间 	水道 	感觉 	时间 	鬼石坊主地狱 	金阁寺 	东吉野村 	小编 	工房 	一心寺 	亲水 	列车 	军君 	川崎市 	药妆店 	河津町 	定员 	醍醐 	酒厂 	过山车 	游客 	男友 	八木崎公园 	平野神社 	城址 	女票 	影城 	飞机 	日光东照宫 	稻荷 	缆车 	大分市 	人吉市 	公园 	总司 	书店 	六义园 	机场 	半岛 	托马斯乐园 	仙女 	丰田汽车博物馆 	抒情 	妈妈 	皇冠 	会员 	步行 	领导 	广岛市 	机场 	图片 	海滨公园 	女子 	足立美术馆 	近江町 	机场 	导游 	哥拉巴公园 	地方 	西芳寺 	牛舌 	野岛 	河内藤园 	基友 	富田农场 	中央 	管理员 	羽田机场 	影视城 	房间 	天桥立 	飞驒高山 	寺院 	角馆 	上田市 	度假村 	胖子 	寂光院 	琵琶湖 	泡汤 	排队 	清水寺 	爪子 	八幡 	宇治川 	樱桃小丸子主题博物馆 	老爸 	双叶 	弘前公园 	神户 	母上 	东京大学 	太太 	小岛 	富士 	山下公园 	镰仓高校前站 	国际 	衣服 	莲洞 	知床五湖 	仁和寺 	高校 	皮肤 	神户港 	牛肉 	上贺茂神社 	红叶 	圣地 	鸕鶿 	本店 	住宿 	会津若松市 	地铁 	步行 	章鱼烧 	寄木 	海游馆 	恋人 	兴福寺 	水手 	公主 	冰川丸 	樱花树 	善光寺 	动物 	栗林公园 	棒球 	烟花 	战国 	奥之院 	豪斯登堡 	瀑布 	新干线 	洞爷湖 	动画 	筑地市场 	冈山城 	山顶 	项目 	山形 	旅行社 	上信越高原国立公园碓冰峠 	地铁站 	雷门 	吉野山 	广岛县 	花见小路 	天龙寺 	浜离宫 	代码证 	奈良町 	和歌山市 	关原 	照片 	链接 	博物馆 	熊本市 	花笠 	火锅 	棒球 	電車 	弟弟 	鸟取市 	名古屋城天守阁 	名古屋 	时间 	旅店 	大阪城公园 	户籍 	中目 	价格 	公園 
0.034	0.012	0.017	0.041	0.011	0.008	0.044	0.044	0.021	0.014	0.039	0.041	0.017	0.017	0.019	0.018	0.047	0.042	0.026	0.04	0.046	0.054	0.009	0.031	0.028	0.056	0.027	0.024	0.012	0.021	0.04	0.021	0.03	0.004	0.019	0.051	0.016	0.029	0.014	0.014	0.037	0.02	0.028	0.028	0.036	0.032	0.048	0.032	0.033	0.043	0.031	0.023	0.009	0.044	0.015	0.029	0.05	0.093	0.033	0.041	0.009	0.034	0.045	0.012	0.026	0.05	0.033	0.044	0.008	0.025	0.049	0.02	0.021	0.031	0.027	0.045	0.029	0.111	0.029	0.046	0.022	0.034	0.022	0.031	0.04	0.037	0.048	0.064	0.067	0.011	0.053	0.023	0.025	0.019	0.034	0.047	0.02	0.04	0.034	0.036	0.051	0.023	0.015	0.038	0.013	0.013	0.035	0.022	0.018	0.046	0.049	0.017	0.041	0.037	0.026	0.021	0.045	0.025	0.053	0.018	0.042	0.049	0.043	0.017	0.012	0.022	0.016	0.08	0.021	0.023	0.057	0.012	0.02	0.043	0.042	0.012	0.039	0.032	0.042	0.04	0.043	0.039	0.027	0.035	0.016	0.041	0.024	0.046	0.036	0.031	0.022	0.039	0.022	0.024	0.025	0.043	0.011	0.024	0.009	0.044	0.029	0.028	0.02	0.022	0.049	0.033	0.014	0.033	0.007	0.029	0.03	0.024	0.024	0.009	0.02
东寺 	空间 	早餐 	市場 	行李 	目仪 	血池 	八坂神社 	桥本市 	国分 	东川町 	富士宫市 	尾花 	北海道 	异性 	机器猫 	百货 	渡嘉敷岛 	怪兽 	天保山公园 	酒鬼 	医院 	世界 	雪谷 	睡袋 	高濑川 	木幡 	姑妈 	梅田蓝天大厦 	行程 	东照宫 	狐狸 	富士山 	银座 	生驹 	目黑川 	日记 	原宿 	枫叶 	伊势市 	下田 	美秀美术馆 	大头 	壬生寺 	群马县 	儿童 	广场 	机票 	地铁 	淡路 	鸟居 	本店 	早餐 	月庭 	区域 	石见银山 	市场 	国际 	金阁寺 	稻佐山 	蛋糕 	淡路岛梦舞台 	新干线 	下井 	团长 	新宮 	四季彩之丘 	火山 	团妈 	殿场 	岚山公园 	时间 	参观 	合掌 	历史 	贵船 	鸣子 	北海道 	游戏 	高山市 	彦根市 	浴衣 	时间 	京都御所 	鞍马寺 	火车 	右卫 	游乐场 	父母 	食屋 	东京迪斯尼乐园 	银汤 	博主 	东京都 	西伊豆 	珊瑚 	新宿 	红砖仓库 	长谷寺 	美国村 	浴衣 	哺乳期 	知床半岛 	京都国立博物馆 	电车 	感觉 	牛肉 	餐厅 	京都御所 	东福寺 	地狱谷野猿公苑 	埼玉市 	鳗鱼 	房子 	福岛县 	车站 	时间 	桥店 	骏爷 	鲸鲨 	白色 	若草山 	太宰府 	国际 	艺妓 	樱花季 	庭园 	企鹅 	高松市 	八景岛海岛乐园 	浴衣 	时代 	大师 	地狱 	森林 	鼓浪屿 	函馆朝市 	龙猫 	涩谷 	仓敷美观 	雪场 	排队 	观光 	复印件 	凡妈 	井之头恩赐公园 	秋叶原电器街 	东京森美术馆 	水木 	八坂神社 	嵯峨野 	马笼宿 	恶龙 	鹿饼 	和歌山县 	尾张 	朋友 	亲亲 	店铺 	部长 	橋筋 	门店 	公分 	地鐵 	川越市 	纪念馆 	丰田工商及科技纪念馆 	常滑招财猫 	感觉 	房间 	四天王寺 	团费 	荒川 	南鱼沼郡 	機場 
0.032	0.012	0.016	0.021	0.011	0.008	0.037	0.029	0.017	0.014	0.034	0.029	0.017	0.016	0.017	0.017	0.026	0.023	0.025	0.036	0.031	0.05	0.007	0.03	0.017	0.05	0.016	0.023	0.012	0.021	0.036	0.015	0.028	0.003	0.018	0.048	0.015	0.023	0.012	0.014	0.036	0.018	0.019	0.022	0.021	0.027	0.036	0.031	0.033	0.043	0.024	0.022	0.008	0.021	0.013	0.028	0.05	0.09	0.032	0.033	0.009	0.031	0.027	0.011	0.021	0.023	0.031	0.04	0.007	0.018	0.034	0.015	0.018	0.025	0.023	0.034	0.024	0.018	0.027	0.044	0.018	0.025	0.011	0.027	0.04	0.023	0.029	0.033	0.039	0.01	0.031	0.017	0.02	0.017	0.028	0.043	0.014	0.029	0.025	0.021	0.031	0.02	0.011	0.03	0.011	0.013	0.028	0.021	0.018	0.024	0.039	0.014	0.023	0.03	0.025	0.018	0.045	0.011	0.025	0.016	0.04	0.039	0.038	0.015	0.01	0.022	0.016	0.054	0.02	0.022	0.04	0.012	0.016	0.036	0.038	0.012	0.028	0.03	0.029	0.04	0.031	0.031	0.017	0.035	0.011	0.025	0.024	0.011	0.019	0.026	0.016	0.037	0.021	0.017	0.024	0.04	0.01	0.024	0.009	0.02	0.018	0.027	0.019	0.02	0.046	0.025	0.009	0.023	0.006	0.02	0.029	0.015	0.022	0.008	0.017
