topic num:1,perplexity value:284.295361616
topic num:2,perplexity value:267.572099732
topic num:3,perplexity value:257.514983245
topic num:4,perplexity value:252.084737295
topic num:5,perplexity value:249.553501779
topic num:6,perplexity value:248.028543092
topic num:7,perplexity value:242.5588934
topic num:8,perplexity value:240.602667019
topic num:9,perplexity value:239.570436028
topic num:10,perplexity value:237.438529858
topic num:11,perplexity value:235.645795266
topic num:12,perplexity value:236.183395807
topic num:13,perplexity value:232.68410789
topic num:14,perplexity value:231.299119386
topic num:15,perplexity value:229.855746057
topic num:16,perplexity value:230.038708992
topic num:17,perplexity value:229.996850671
topic num:18,perplexity value:228.198411267
topic num:19,perplexity value:226.106266826
topic num:20,perplexity value:225.309757096
topic num:21,perplexity value:225.699515494
topic num:22,perplexity value:223.425929337
topic num:23,perplexity value:224.006149206
topic num:24,perplexity value:223.080569359
topic num:25,perplexity value:223.164398996
topic num:26,perplexity value:222.32818299
topic num:27,perplexity value:222.781695162
topic num:28,perplexity value:219.826131936
topic num:29,perplexity value:222.293841559
topic num:30,perplexity value:221.827494248
topic num:31,perplexity value:222.432296281
topic num:32,perplexity value:220.777995522
topic num:33,perplexity value:219.693056954
topic num:34,perplexity value:221.047392377
topic num:35,perplexity value:218.974934889
